Pillar,Pillar_Weight_Pct,Parameter_ID,Parameter_Name,Scoring_Type,Description,Label_A,Label_A_When,Label_B,Label_B_When,Label_C,Label_C_When,Label_D,Label_D_When,Label_E,Label_E_When,Score_NA_When,Output_Column_Name,Output_Reason_Column_Name
Customer Journey Signals,40,P1-01,Customer Arrival State,Classification,Classify the customer tone and receptivity based on the first 3 to 4 exchanges only. Do not factor in anything the agent said or did. Observe only what the customer communicated.,Warm,Customer responds positively and engages naturally from the first exchange. Tone is open cooperative and without friction.,Curious,Customer is engaged but asking questions before committing attention. Slightly guarded but clearly receptive to hearing more.,Neutral,Customer is neither warm nor cold. Responding minimally and waiting to hear more before reacting in either direction.,Guarded,Customer is skeptical from the start. Short answers questioning the legitimacy or purpose of the call or referencing a prior negative experience in the opening.,Hostile,Customer is dismissive refuses to engage meaningfully or attempts to end the call within the first minute.,Call disconnected before customer had more than one exchange.,P1_01_Customer_Arrival_State,P1_01_Reason
Customer Journey Signals,40,P1-02,Customer Stated or Implied Pain Point,Classification,Did the customer articulate or clearly imply why they want to lose weight? Classify the type and whether it was confirmed during the call.,Confirmed Health Comorbidity,Customer explicitly mentioned a condition: diabetes thyroid disorder PCOS BP fatty liver high cholesterol or any other metabolic condition.,Confirmed Failed Attempts,Customer explicitly referenced a prior gym diet plan Herbalife competing service or any other weight loss method that did not produce lasting results.,Confirmed Life Event or Appearance,Customer mentioned a wedding travel plan age-related concern fitness goal or aesthetic motivation as their reason.,Implied Not Confirmed,Customer hinted at a motivation but never stated it directly. Agent did not probe to confirm.,Not Surfaced,No pain point emerged at any point during the call. Customer gave no context and agent did not ask.,Call was too short under 90 seconds for this to be assessed.,P1_02_Pain_Point_Type,P1_02_Reason
Customer Journey Signals,40,P1-03,Medication or GLP Resistance Signal,Classification,Did the customer express any hesitation reluctance or outright refusal toward GLP-1 medication injections or medication dependency at any point during the call?,Strong Resistance,Customer explicitly refused injections or medication. Said something equivalent to I don't want Ozempic or I am not interested in any medication. Call direction was forced to change.,Partial Resistance,Customer expressed hesitation or concern about side effects long-term dependency frequency of injection or discomfort but did not refuse outright.,Curiosity Mixed,Customer asked questions about the medication — dosage frequency cost side effects — without expressing reluctance. Signal is interest not resistance.,None,No signal of any kind related to medication or GLP-1 from the customer at any point.,NA,NA,Call ended before medication was discussed.,P1_03_Medication_Resistance_Signal,P1_03_Reason
Customer Journey Signals,40,P1-04,Trust Deficit Signal,Classification,Did the customer express concern about fraud payment safety company legitimacy or reference a prior negative experience with MetaGoHealth or any other weight loss company?,Present Fraud or Safety Concern,Customer explicitly questioned whether the company is legitimate whether the payment is safe or whether they would actually receive what was promised before paying.,Present Prior Bad Experience,Customer mentioned a previous program including MetaGoHealth or any other company that charged them and underdelivered on service consultation or results.,Present General Skepticism,Customer expressed general disbelief or skepticism about the program without citing a specific incident or naming a prior company.,None,No trust or legitimacy concern was raised by the customer at any point during the call.,NA,NA,Not applicable.,P1_04_Trust_Deficit_Signal,P1_04_Reason
Customer Journey Signals,40,P1-05,Price Sensitivity Signal,Classification,Did the customer react visibly in tone or words to any price mentioned during the call? Include reactions to the 1799 assessment fee the full 6-month plan cost or monthly medication cost.,Strong Reaction,Customer explicitly said the price is too high compared it to a competitor price asked for a discount or withdrew engagement after a price was mentioned.,Mild Reaction,Customer paused asked for clarification or repeated the price back as a question without refusing. Engagement continued but with visible hesitation.,Neutral Acceptance,Price was mentioned and customer acknowledged it without any visible reaction. Engagement continued normally.,Not Triggered,No price was discussed during the call or the call ended before any price was reached.,NA,NA,Not applicable.,P1_05_Price_Sensitivity_Signal,P1_05_Reason
Customer Journey Signals,40,P1-06,Competitor or Alternative Present,Classification,Was any competing service platform local doctor or alternative approach mentioned by the customer at any point during the call?,Named Competitor,Customer named a specific service: HealthifyMe Sugarfit Alimite Elevate or any other named clinic app or doctor offering similar services.,Generic Alternative,Customer referenced another app another company or my doctor without naming who specifically.,Self-Research Present,Customer mentioned they had researched GLP-1 Ozempic Wegovy or weight loss options independently. No specific competitor named but prior knowledge is evident.,None,No mention of any alternative competitor or prior research by the customer at any point.,NA,NA,Not applicable.,P1_06_Competitor_Alternative_Present,P1_06_Reason
Customer Journey Signals,40,P1-07,Decision Maker Status,Classification,Is the person on the call the one who will make the final decision and complete the payment?,Self Full Authority,Customer confirmed they are calling for themselves and are the decision maker and payer.,Self Needs Consultation,Customer is the subject and intends to enroll but mentioned needing to consult a spouse family member or doctor before deciding.,Proxy Calling for Someone Else,Customer is inquiring on behalf of a family member — daughter spouse parent — who is the actual subject. The subject is not present on the call.,Unclear,Decision maker status was never established during the call. Agent did not ask and customer did not clarify.,NA,NA,Not applicable.,P1_07_Decision_Maker_Status,P1_07_Reason
Customer Journey Signals,40,P1-08,Customer Emotional Momentum Mid-Call,Classification,Did the customer's engagement increase hold steady or decrease as the call progressed? Compare tone question frequency and response depth from the first third to the final third of the call. Evaluate the customer only not the agent.,Rising,Customer became noticeably more engaged as the call progressed. Asked more questions gave longer and more personal answers or moved toward logistics and commitment language by the end.,Flat,Customer maintained the same level of engagement throughout. Neither warming up nor cooling down. Responses stayed consistent in length and tone.,Declining,Customer became less engaged as the call progressed. Responses became shorter deflections increased or the customer began signaling a desire to exit.,Volatile,Customer engagement shifted more than once in opposite directions — for example warmed up during the explanation then cooled sharply after price was mentioned.,NA,NA,Call too short to assess trajectory.,P1_08_Customer_Emotional_Momentum,P1_08_Reason
Customer Journey Signals,40,P1-09,Buying Signal Type,Classification,What was the strongest forward-commitment signal from the customer if any? Classify only the most advanced signal that appeared not all signals.,Logistics Question,Customer asked about fasting duration blood sample process slot timing technician visit alternate address for blood test payment process or what happens immediately after the test. These are the strongest commitment indicators.,Outcome Question,Customer asked how much weight they can lose in what timeframe what the success rate is or what the program journey looks like after assessment. Interest is confirmed but not yet at logistics stage.,Pricing Question,Customer asked about the 1799 fee the full plan cost or medication cost. Engagement is present but the customer is still evaluating whether to proceed.,None,No forward-commitment signal from the customer at any point during the call.,NA,NA,Not applicable.,P1_09_Buying_Signal_Type,P1_09_Reason
Customer Journey Signals,40,P1-10,Customer Exit State,Classification,How did the customer leave the call? Choose the single most accurate label. If multiple could apply choose the one that best explains why the call did or did not convert.,Converted,Customer confirmed payment on the call. A payment link was sent and the customer completed or clearly committed to completing the payment before disconnect.,Committed Callback,Customer agreed to a specific named day and time for a callback. Not vague — a concrete date and time were stated by the customer.,Soft Deflection,Customer said I will think about it or I will call you back or give me some time with no specific date or time committed.,Hard Logistical Barrier,Customer is genuinely interested but blocked by a real circumstance: non-serviceable pincode currently out of town recently completed a similar blood test or not at their primary location.,Medication Refusal / Price Refusal / Ineligibility / Hard No,Medication Refusal: customer specifically refused GLP-1 medication or injections as the explicit reason. Price Refusal: customer explicitly cited cost as the reason. Ineligibility: BMI below 27 age outside 18-65 or medical exclusion identified. Hard No: customer refused to engage further with no specific reason or openness to follow-up.,Call disconnected abruptly with no customer exit signal.,P1_10_Customer_Exit_State,P1_10_Reason
